state,23-Dec,24-Nov,24-Dec
Abia,690.53,1260.66,1224.67
Abuja,663.33,1230.56,1102.25
Adamawa,745.71,1319.85,1301.33
Akwa Ibom,671.67,1203.93,1146.94
Anambra,680,1270.75,1238.76
Bauchi,675.29,1181.69,1183.48
Bayelsa,667.11,1209.17,1161.88
Benue,658.89,1365.16,1234.55
Borno,622.71,1331.94,1282.38
Cross River,679,1218.54,1228.19
Delta,640,1170.36,1282.71
Ebonyi,671.43,1287.57,1280.41
Edo,661.88,1187.61,1142.4
Ekiti,653.44,1182.38,1120
Enugu,673.13,1245.56,1278.47
Gombe,703,1232.8,1176.13
Imo,683.68,1224.08,1198.89
Jigawa,682,1308.57,1258.46
Kaduna,673.67,1193.75,1161.2
Kano,602.78,1152.86,1152.14
Katsina,665,1121.25,1187.5
Kebbi,715.63,1186.25,1194
Kogi,660.91,1249.98,1188.18
Kwara,650.63,1173.06,1133.08
Lagos,612.72,1092.79,1106.33
Nassarawa,661.43,1181.89,1157.14
Niger,659.38,1173.18,1176.07
Ogun,776.54,1154.74,1106.07
Ondo,644.06,1155.56,1137.78
Osun,641.54,1171.88,1137.06
Oyo,626.56,1166.32,1088.75
Plateau,649.25,1227.5,1260
Rivers,676.67,1257.78,1164.91
Sokoto,678.57,1162.86,1113.33
Taraba,760,1256.36,1307.05
Yobe,692.18,1222.73,1225
Zamfara,688.46,1192.31,1160
